STYLE,BRAND,DESCRIPTION,GROUP,SIZE,NET
3719,BELLA + CANVAS,Unisex Poly-Cotton Fleece Pullover Hoodie,COLORS,2XL, $	29.80
3739,CANVAS,Unisex Poly-Cotton Fleece Full-Zip Hoodie,COLORS,XS-XL, $	29.05
3739,CANVAS,Unisex Poly-Cotton Fleece Full-Zip Hoodie,COLORS,2XL, $	33.34
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,S-XL, $	2.78
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,2XL, $	4.49
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,3XL, $	4.49
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,4XL, $	4.49
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,5XL, $	5.06
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,6XL, $	6.97
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,S-XL, $	2.33
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,2XL, $	3.93
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,3XL, $	3.93
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,4XL, $	3.93
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,5XL, $	5.06
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,6XL, $	6.00
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,S-XL, $	1.90
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,2XL, $	3.21
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,3XL, $	3.21
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,4XL, $	3.21
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,5XL, $	4.21
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,6XL, $	5.20
3939,CANVAS,Unisex Triblend Full-Zip Lightweight Hoodie,TRIBLENDS,XS-XL, $	29.09
3939,CANVAS,Unisex Triblend Full-Zip Lightweight Hoodie,TRIBLENDS,2XL, $	33.38
3969,CODE V, Camouflage Pullover Hooded Sweatshirt,ALL,S-XL, $	27.90
3969,CODE V, Camouflage Pullover Hooded Sweatshirt,ALL,2XL, $	29.20
3980,CODE V, Officially Licensed REALTREE® Camouflage Short-Sleeve T-Shirt,ALL,S-XL, $	15.47
3980,CODE V, Officially Licensed REALTREE® Camouflage Short-Sleeve T-Shirt,ALL,2XL, $	17.50
3981,CODE V, Officially Licensed REALTREE® Camouflage Long-Sleeve T-Shirt,ALL,S-XL, $	18.57
3981,CODE V, Officially Licensed REALTREE® Camouflage Long-Sleeve T-Shirt,ALL,2XL, $	21.78
4030,GEMLINE, Vertex Tech Duffel,ALL,ONE SIZE, $	25.39
4400,RABBIT SKINS,Infant 8.34 oz./lin. yd. Baby Rib Lap Shoulder Bodysuit,COLORS,NB-24MOS, $	4.13
4400,RABBIT SKINS,Infant 8.34 oz./lin. yd. Baby Rib Lap Shoulder Bodysuit,LIGHTS,NB-24MOS, $	3.35
4400,RABBIT SKINS,Infant 8.34 oz./lin. yd. Baby Rib Lap Shoulder Bodysuit,NEUTRALS,NB-24MOS, $	3.14
4520,GEMLINE, Echo Sport Bag,ALL,ONE SIZE, $	11.94
4560,GEMLINE, Squad Sport Bag,ALL,ONE SIZE, $	22.45
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,COLORS,S-XL, $	4.17
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,COLORS,2XL, $	6.12
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,COLORS,3XL, $	6.12
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,HEATHERS,S-XL, $	3.83
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,HEATHERS,2XL, $	5.53
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,HEATHERS,3XL, $	5.53
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,NEUTRALS,S-XL, $	3.29
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,NEUTRALS,2XL, $	5.04
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,NEUTRALS,3XL, $	5.04
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,COLORS,S-XL, $	15.08
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,COLORS,2XL, $	17.87
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,COLORS,3XL, $	17.87
